parejas,promedio
"(35, 4)",0.971220238095238
"(35, 6)",0.9713690476190475
"(35, 8)",0.9710119047619049
"(40, 4)",0.9716369047619047
"(40, 6)",0.9712500000000001
"(40, 8)",0.9710416666666666
"(45, 4)",0.9711607142857144
"(45, 6)",0.971190476190476
"(45, 8)",0.9706547619047617
"(50, 4)",0.9710714285714286
"(50, 6)",0.9708035714285714
"(50, 8)",0.9700595238095238
"(55, 4)",0.9706845238095237
"(55, 6)",0.9708333333333332
"(55, 8)",0.9700892857142855
"(75, 4)",0.9704464285714286
"(75, 6)",0.9701488095238096
"(75, 8)",0.96875
