K,Accuracy
1,0.9675
2,0.9654761904761904
3,0.9711904761904762
4,0.9703571428571428
5,0.9696428571428573
6,0.9695238095238096
7,0.9689285714285716
8,0.9686904761904762
9,0.9670238095238096
10,0.9675
11,0.9657142857142856
12,0.964404761904762
13,0.9628571428571427
14,0.9620238095238096
15,0.9617857142857142
16,0.9603571428571428
17,0.9610714285714286
18,0.9595238095238096
19,0.9546428571428571
20,0.9577380952380952
21,0.9545238095238096
22,0.9563095238095238
23,0.954047619047619
24,0.9551190476190476
25,0.9516666666666667
26,0.9535714285714286
27,0.950595238095238
28,0.9525
29,0.9502380952380952
30,0.9514285714285714
